"AISID";"USRCHONumber";"ObjectNameOnDoc";"EnsembleNameOnDoc";"SecurityStatus";"Category";"ObjectType";"global_id";
"Идентификатор в АИС Мосгорнаследия";"Номер ЕГРОКН";"Наименование объекта по документам";"Наименование ансамбля по документам";"Охранный статус";"Категория объекта";"Вид объекта недвижимости";"global_id";
"cbfe444b-56f9-11e2-965f-005056806bb6";"771640658110056";"""Царицынские курганы, (группы 2, 3, 4, 5, 6), XI – XIII вв. н.э."" - ""Царицынские курганы. Группа № 6"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623762";
"cbfe449e-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Оружейной слободы"", XVII в. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623763";
"cbfe44cf-56f9-11e2-965f-005056806bb6";"771441198460006";"Спасский на Всходне монастырь, XIV-XVI вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623764";
"cc5ba352-1d6c-11e8-9e37-005056806bb6";"";"Культурный слой села Коломенское (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623765";
"cd64129c-cbb6-11e7-9b3e-005056806bb6";"";"Культурный слой в границах города Москвы XVIII в. (Камер-Коллежского вала) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623767";
"cd7d87ad-33de-11e6-b786-005056806bb6";"772341374840006";"""Курганный могильник Зюзино 6"", XII–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623768";
"d0e2fc8b-d4ad-11e5-87bd-005056806bb6";"";"Селище Алхимово 1 (XII-XIV вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623769";
"d25d0d23-56f9-11e2-965f-005056806bb6";"771440835160006";"Территория культурного слоя ""Донской слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623770";
"d25d0d5e-56f9-11e2-965f-005056806bb6";"771440981660006";"Территория культурного слоя Даниловского монастыря, XIII-XX вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623772";
"d25d0d99-56f9-11e2-965f-005056806bb6";"771741214710036";"Дер. Пенягино. XVI-XIX вв. - ""Пруд–копань южный"", XV–XIX вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623773";
"d25d0d9c-56f9-11e2-965f-005056806bb6";"771441198520006";"""4–е Митинское селище"", XII–XVI вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623774";
"d5a8e983-a184-11e6-b401-005056806bb6";"";"Селище ""Мосрентген. Троицкое"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623777";
"d6b9fd25-d64f-11e5-87bd-005056806bb6";"";"Селище Сатино-Русское-5 (XIII-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623778";
"d851d316-e498-11e7-9c1f-005056806bb6";"";"Селище ""Троицк 4"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623779";
"d8bfa5c0-d575-11e5-87bd-005056806bb6";"";"Селище Сатино-Татарское 3 (XIV, XVII-XVIII вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623780";
"d8ce04a7-a672-11e6-b401-005056806bb6";"";"Селище ""Мосрентген. Дудкино"" (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623781";
"d90ce4f9-56f9-11e2-965f-005056806bb6";"";"Земляная пирамида, XVII-XVIII вв.";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623782";
"d90ce4fc-56f9-11e2-965f-005056806bb6";"771741214710026";"Дер. Пенягино. XVI-XIX вв. - ""Пруд–копань северный"", XV–XIX вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623783";
"d90ce525-56f9-11e2-965f-005056806bb6";"771440835150006";"Территория культурного слоя ""Даниловской слободы"", XVI-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623784";
"d90ce55e-56f9-11e2-965f-005056806bb6";"";"Водосток, XVIII в.";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623785";
"d90ce5aa-56f9-11e2-965f-005056806bb6";"771740835280006";"Территория культурного слоя ""Тверской-Ямской слободы"", кон. XVI- нач. XVIII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623788";
"da899e57-44b1-11e8-ac6f-005056806bb6";"";"Селище Красная Пахра (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623791";
"db54eb7a-d577-11e5-87bd-005056806bb6";"";"Селище Русино 5 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623792";
"de7cf72e-d3e1-11e5-87bd-005056806bb6";"";"Селище Сатино-Татарское 1В (XIII-XV вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623793";
"df09ecdf-56f9-11e2-965f-005056806bb6";"771741198590026";"Село Спас, XVI-XIX вв. - ""Пруд–копань"", XVI–XVII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623794";
"df09ed96-56f9-11e2-965f-005056806bb6";"771440981230006";"Территория культурного слоя ""Воротниковской старой слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623797";
"df09edaa-56f9-11e2-965f-005056806bb6";"771440984640006";"Село Сущево (место древнего поселения с зоной культурного слоя), XV-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623798";
"df09edb7-56f9-11e2-965f-005056806bb6";"";"Территория культурного слоя ""Спасской слободы"", XVII в. н.э. (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623799";
"df09edb9-56f9-11e2-965f-005056806bb6";"771440981770006";"Территория культурного слоя ""Казачьей слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623800";
"df09ee61-56f9-11e2-965f-005056806bb6";"771440984630006";"Село Свиблово (место древнего поселения с зоной культурного слоя), XVI-XVIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623802";
"df09ee62-56f9-11e2-965f-005056806bb6";"771441199660006";"Селище Каменная плотина (зона культурного слоя), XV-XVII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623803";
"e096b9bb-33d6-11e6-b786-005056806bb6";"772241362580006";"""Курганный могильник Ясенево 2"", XII-XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623804";
"e10b2482-ee0c-11e6-809a-005056806bb6";"772341379760006";"""Курганный могильник Давыдково"", XI-XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623805";
"e3ea2002-d572-11e5-87bd-005056806bb6";"";"Селище Русино 4 (XV-XVI вв.) (достопримечательное место)";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623806";
"e55c6c03-32c9-11e6-b786-005056806bb6";"";"Курганный могильник Бирюлево";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623807";
"e5ccd88d-56f9-11e2-965f-005056806bb6";"771440981480006";"Территория культурного слоя ""Барашевской слободы"", XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623808";
"e5ccd948-56f9-11e2-965f-005056806bb6";"771440984530006";"Село Семцинское (место древнего поселения с зоной культурного слоя), XIV-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623809";
"e5ccd94f-56f9-11e2-965f-005056806bb6";"771440835170006";"Территория культурного слоя ""Кожевнической слободы"", XVI-XVII вв. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623810";
"e5ccd9a7-56f9-11e2-965f-005056806bb6";"771440837940006";"Территория культурного слоя ""Немецкой слободы"", XVI-XVII в. н.э.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623811";
"e5ccd9c0-56f9-11e2-965f-005056806bb6";"";"Трехкамерный грот, 1807-1809 гг.";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623812";
"e5ccd9c4-56f9-11e2-965f-005056806bb6";"";"Камер-юнгфарский корпус, 1779-1794 гг.";"";"выявленный объект культурного наследия";"категория не устанавливается";"Объект археологии";"2608623813";
"e77566d2-e491-11e7-9c1f-005056806bb6";"772341375210006";"""Курганный могильник ""Пучково 1"", XII–ХIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623814";
"e98b82e8-1e26-11e8-9e37-005056806bb6";"772341375200006";"""Курганный могильник ""Малое Голубино 2"", XI–XIII вв.";"";"объект культурного наследия";"федерального значения";"Объект археологии";"2608623815";
